,name,information,price
0,Fabrics 3 Piece Suit,Essentials Printed Top Bottoms Dupatta,2.214
1,Fabrics 3 Piece Suit,Essentials Printed Top Bottoms,2.152
2,Fabrics 3 Piece Suit,Essential Printed Top Bottoms Dupatta,3.19
3,Fabrics 3 Piece Suit,Essential Printed Top Bottoms Dupatta,3.49
4,Fabrics 3 Piece Suit,Casuals Knits Printed T-shirt,1.49
5,Fabrics 3 Piece Suit,Essential Dyed Embroidered Kurta,3.843
6,Fabrics 3 Piece Suit,Essential Printed Top Bottoms Dupatta,3.49
7,Fabrics 3 Piece Suit,Signature Printed Embroidered Kurta,5.49
